"Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","CFR","Recovery_Rate","Population_State","Cases_type","Cases_counts"
2020-03-13,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-14,"6:00 PM","Delhi",7,0,14.29,14.29,18710922,"Cured",1
2020-03-14,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-14,"6:00 PM","Kerala",19,0,0,15.79,35699443,"Cured",3
2020-03-14,"6:00 PM","Rajasthan",1,2,0,33.33,81032689,"Cured",1
2020-03-14,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-14,"6:00 PM","Uttar Pradesh",11,1,0,41.67,237882725,"Cured",5
2020-03-14,"6:00 PM","Ladakh",3,0,0,0,289023,"Cured",0
2020-03-14,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-14,"6:00 PM","Jammu and Kashmir",2,0,0,0,13606320,"Cured",0
2020-03-14,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-14,"6:00 PM","Karnataka",6,0,16.67,0,67562686,"Cured",0
2020-03-14,"6:00 PM","Maharashtra",14,0,0,0,123144223,"Cured",0
2020-03-14,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-15,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-15,"6:00 PM","Delhi",7,0,14.29,28.57,18710922,"Cured",2
2020-03-15,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-15,"6:00 PM","Karnataka",6,0,16.67,0,67562686,"Cured",0
2020-03-15,"6:00 PM","Kerala",22,0,0,13.64,35699443,"Cured",3
2020-03-15,"6:00 PM","Maharashtra",32,0,0,0,123144223,"Cured",0
2020-03-15,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-15,"6:00 PM","Rajasthan",2,2,0,75,81032689,"Cured",3
2020-03-15,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-15,"6:00 PM","Telangana",3,0,0,33.33,39362732,"Cured",1
2020-03-15,"6:00 PM","Jammu and Kashmir",2,0,0,0,13606320,"Cured",0
2020-03-15,"6:00 PM","Ladakh",3,0,0,0,289023,"Cured",0
2020-03-15,"6:00 PM","Uttar Pradesh",12,1,0,30.77,237882725,"Cured",4
2020-03-15,"6:00 PM","Uttarakhand",1,0,0,0,11250858,"Cured",0
2020-03-16,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-16,"6:00 PM","Delhi",7,0,14.29,28.57,18710922,"Cured",2
2020-03-16,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-16,"6:00 PM","Karnataka",6,0,16.67,0,67562686,"Cured",0
2020-03-16,"6:00 PM","Kerala",23,0,0,13.04,35699443,"Cured",3
2020-03-16,"6:00 PM","Maharashtra",32,0,0,0,123144223,"Cured",0
2020-03-16,"6:00 PM","Odisha",1,0,0,0,46356334,"Cured",0
2020-03-16,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-16,"6:00 PM","Rajasthan",2,2,0,75,81032689,"Cured",3
2020-03-16,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-16,"6:00 PM","Telangana",3,0,0,33.33,39362732,"Cured",1
2020-03-16,"6:00 PM","Jammu and Kashmir",3,0,0,0,13606320,"Cured",0
2020-03-16,"6:00 PM","Ladakh",4,0,0,0,289023,"Cured",0
2020-03-16,"6:00 PM","Uttar Pradesh",12,1,0,30.77,237882725,"Cured",4
2020-03-16,"6:00 PM","Uttarakhand",1,0,0,0,11250858,"Cured",0
2020-03-17,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-17,"6:00 PM","Delhi",8,0,12.5,25,18710922,"Cured",2
2020-03-17,"6:00 PM","Haryana",1,14,0,0,28204692,"Cured",0
2020-03-17,"6:00 PM","Karnataka",11,0,9.09,0,67562686,"Cured",0
2020-03-17,"6:00 PM","Kerala",24,2,0,11.54,35699443,"Cured",3
2020-03-17,"6:00 PM","Maharashtra",36,3,2.56,0,123144223,"Cured",0
2020-03-17,"6:00 PM","Odisha",1,0,0,0,46356334,"Cured",0
2020-03-17,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-17,"6:00 PM","Rajasthan",2,2,0,75,81032689,"Cured",3
2020-03-17,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-17,"6:00 PM","Telangana",3,2,0,20,39362732,"Cured",1
2020-03-17,"6:00 PM","Jammu and Kashmir",3,0,0,0,13606320,"Cured",0
2020-03-17,"6:00 PM","Ladakh",6,0,0,0,289023,"Cured",0
2020-03-17,"6:00 PM","Uttar Pradesh",14,1,0,33.33,237882725,"Cured",5
2020-03-17,"6:00 PM","Uttarakhand",1,0,0,0,11250858,"Cured",0
2020-03-18,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-18,"6:00 PM","Delhi",9,1,10,20,18710922,"Cured",2
2020-03-18,"6:00 PM","Haryana",3,14,0,0,28204692,"Cured",0
2020-03-18,"6:00 PM","Karnataka",11,0,9.09,0,67562686,"Cured",0
2020-03-18,"6:00 PM","Kerala",25,2,0,11.11,35699443,"Cured",3
