"location","iso_code","continent","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million"
"Chile","CHL","Americas",2021-03-28,9663353,6398105,3265248,1386,167559,50.55,33.47,17.08,8765
"Colombia","COL","Americas",2021-03-28,1818861,1624565,194296,91937,86265,3.57,3.19,0.38,1695
"Czechia","CZE","Europe",2021-03-28,1580514,1134299,446215,9519,32120,14.76,10.59,4.17,2999
"Denmark","DNK","Europe",2021-03-28,1059201,691272,367929,13625,15171,18.29,11.93,6.35,2619
"Estonia","EST","Europe",2021-03-28,254683,193870,60813,2405,4502,19.2,14.61,4.58,3394
"France","FRA","Europe",2021-03-28,10453534,7798091,2655443,59291,260637,15.34,11.44,3.9,3825
"Germany","DEU","Europe",2021-03-28,13100792,9179452,3921340,194607,295074,15.64,10.96,4.68,3522
"Gibraltar","GIB","Europe",2021-03-28,58756,31094,27662,1110,798,174.4,92.29,82.11,23686
"Guatemala","GTM","Americas",2021-03-28,94272,93902,370,671,3572,0.53,0.52,0,199
"Hong Kong","HKG","Asia",2021-03-28,462424,443880,18544,13172,15430,6.17,5.92,0.25,2058
"Hungary","HUN","Europe",2021-03-28,2609739,1920347,689392,20270,77250,27.01,19.88,7.14,7997
"India","IND","Asia",2021-03-28,60530435,51660234,8870201,260653,2209205,4.39,3.74,0.64,1601
"Indonesia","IDN","Asia",2021-03-28,10766490,7435851,3330639,340800,412373,3.94,2.72,1.22,1508
"Ireland","IRL","Europe",2021-03-28,806541,580857,225684,4039,18075,16.33,11.76,4.57,3661
"Israel","ISR","Asia",2021-03-28,9943729,5222974,4720755,6573,27822,114.88,60.34,54.54,3214
"Italy","ITA","Europe",2021-03-28,9505028,6514543,2990485,160964,226099,15.72,10.77,4.95,3740
"Lebanon","LBN","Asia",2021-03-28,186712,114730,71982,5585,6899,2.74,1.68,1.05,1011
"Lithuania","LTU","Europe",2021-03-28,476869,325611,151258,184,10735,17.52,11.96,5.56,3943
"Malaysia","MYS","Asia",2021-03-28,580765,451655,129110,14565,21722,1.79,1.4,0.4,671
"Malta","MLT","Europe",2021-03-28,180587,129350,51237,3975,4950,40.9,29.3,11.6,11211
"Montenegro","MNE","Europe",2021-03-28,18661,16570,2091,2210,1558,2.97,2.64,0.33,2481
"Norway","NOR","Europe",2021-03-28,890803,618824,271979,332,16962,16.43,11.41,5.02,3129
"Paraguay","PRY","Americas",2021-03-28,38171,36505,1666,1217,3350,0.54,0.51,0.02,470
"Peru","PER","Americas",2021-03-28,897941,599917,298024,2021,13782,2.72,1.82,0.9,418
"Portugal","PRT","Europe",2021-03-28,1662402,1169256,493146,63415,39848,16.3,11.47,4.84,3908
"Romania","ROU","Europe",2021-03-28,2913155,1939485,973670,54713,55949,15.14,10.08,5.06,2908
"Slovakia","SVK","Europe",2021-03-28,923371,667165,256206,9151,18027,16.91,12.22,4.69,3302
"Slovenia","SVN","Europe",2021-03-28,346309,233482,112827,1261,7701,16.66,11.23,5.43,3704
"South Korea","KOR","Asia",2021-03-28,799198,793966,5232,108,17428,1.56,1.55,0.01,340
"Switzerland","CHE","Europe",2021-03-28,1433003,898967,534036,49902,26126,16.56,10.39,6.17,3019
"United Kingdom","GBR","Europe",2021-03-28,34125256,30445284,3679972,441142,549414,50.27,44.85,5.42,8093
"United States","USA","Americas",2021-03-28,143462691,93631163,51593564,3281956,2711611,42.9,28,15.43,8108
"Uruguay","URY","Americas",2021-03-28,519187,518813,374,2,29345,14.95,14.94,0.01,8448
"Zimbabwe","ZWE","Africa",2021-03-28,79139,68511,10628,5708,5201,0.53,0.46,0.07,350
"Argentina","ARG","Americas",2021-03-27,3570460,2908932,661528,96045,72371,7.9,6.44,1.46,1601
"Austria","AUT","Europe",2021-03-27,1556612,1139825,416787,40124,34019,17.28,12.66,4.63,3777
"Bahrain","BHR","Asia",2021-03-27,724001,478094,245907,6593,11985,42.55,28.1,14.45,7043
"Belgium","BEL","Europe",2021-03-27,1791744,1272123,519621,21828,43234,15.46,10.98,4.48,3730
"Bolivia","BOL","Americas",2021-03-27,263144,174799,88315,3973,13712,2.25,1.5,0.76,1175
"Brazil","BRA","Americas",2021-03-27,17519083,13487207,4031876,486215,577131,8.24,6.35,1.9,2715
"Bulgaria","BGR","Europe",2021-03-27,434158,346392,87766,3930,9659,6.25,4.99,1.26,1390
"Cambodia","KHM","Asia",2021-03-27,581186,376147,205039,24073,17812,3.48,2.25,1.23,1065
"Canada","CAN","Americas",2021-03-27,4967497,4304842,662655,166566,157830,13.16,11.41,1.76,4182
"Chile","CHL","Americas",2021-03-27,9661967,6397138,3264829,15616,167954,50.54,33.46,17.08,8786
"Colombia","COL","Americas",2021-03-27,1726924,1550856,176068,130636,77832,3.39,3.05,0.35,1530
"Czechia","CZE","Europe",2021-03-27,1570995,1128862,442133,12953,32022,14.67,10.54,4.13,2990
"Denmark","DNK","Europe",2021-03-27,1045576,680465,365111,13134,14598,18.05,11.75,6.3,2520
"Ecuador","ECU","Americas",2021-03-27,235000,174642,60358,4230,8904,1.33,0.99,0.34,505
"Faeroe Islands","FRO","Europe",2021-03-27,9959,5853,4106,299,82,20.38,11.98,8.4,1678
"Finland","FIN","Europe",2021-03-27,921123,832602,88521,22915,15583,16.62,15.03,1.6,2812
"France","FRA","Europe",2021-03-27,10394243,7742466,2651777,208433,260099,15.25,11.36,3.89,3817
"Germany","DEU","Europe",2021-03-27,12906185,9037479,3868706,282920,290910,15.4,10.79,4.62,3472
"Gibraltar","GIB","Europe",2021-03-27,57646,30944,26702,1110,759,171.1,91.85,79.26,22528
"Greece","GRC","Europe",2021-03-27,1604238,1055744,548494,31512,23964,15.39,10.13,5.26,2299
"Guatemala","GTM","Americas",2021-03-27,93601,93231,370,1683,3536,0.52,0.52,0,197
"Hong Kong","HKG","Asia",2021-03-27,449252,437245,12007,14040,16951,5.99,5.83,0.16,2261
"Hungary","HUN","Europe",2021-03-27,2589469,1903498,685971,51535,78762,26.81,19.7,7.1,8153
"India","IND","Asia",2021-03-27,60269782,51441436,8828346,2160009,2237992,4.37,3.73,0.64,1622
"Indonesia","IDN","Asia",2021-03-27,10425690,7190663,3235027,12866,370048,3.81,2.63,1.18,1353
"Ireland","IRL","Europe",2021-03-27,802502,577641,224861,15933,18079,16.25,11.7,4.55,3661
"Israel","ISR","Asia",2021-03-27,9937156,5220946,4716210,5894,34493,114.81,60.32,54.49,3985
"Italy","ITA","Europe",2021-03-27,9344064,6393696,2950368,236685,221533,15.45,10.57,4.88,3664
"Latvia","LVA","Europe",2021-03-27,126959,105023,21936,563,3338,6.73,5.57,1.16,1770
"Lebanon","LBN","Asia",2021-03-27,181127,111517,69610,1053,6540,2.65,1.63,1.02,958
"Lithuania","LTU","Europe",2021-03-27,476685,325511,151174,3145,10713,17.51,11.96,5.55,3935
"Malaysia","MYS","Asia",2021-03-27,566200,448187,118013,14652,21849,1.75,1.38,0.36,675
"Malta","MLT","Europe",2021-03-27,176612,126055,50557,4739,4778,40,28.55,11.45,10821
"Mexico","MEX","Americas",2021-03-27,6724789,5901505,823284,237619,180825,5.22,4.58,0.64,1402
"Montenegro","MNE","Europe",2021-03-27,16451,14850,1601,1712,1308,2.62,2.36,0.25,2083
"Morocco","MAR","Africa",2021-03-27,7634475,4302183,3332292,109189,135275,20.68,11.66,9.03,3665
"Norway","NOR","Europe",2021-03-27,890471,618495,271976,599,16951,16.43,11.41,5.02,3127
"Paraguay","PRY","Americas",2021-03-27,36954,35295,1659,2128,3178,0.52,0.49,0.02,446
"Peru","PER","Americas",2021-03-27,895920,598074,297846,12921,13733,2.72,1.81,0.9,417
"Portugal","PRT","Europe",2021-03-27,1598987,1107359,491628,30708,34084,15.68,10.86,4.82,3343
"Romania","ROU","Europe",2021-03-27,2858442,1914885,943557,58547,54478,14.86,9.95,4.9,2832
"Slovakia","SVK","Europe",2021-03-27,914220,658015,256205,14489,19017,16.75,12.05,4.69,3483
"Slovenia","SVN","Europe",2021-03-27,345048,232224,112824,7205,7520,16.6,11.17,5.43,3617
"South Africa","ZAF","Africa",2021-03-27,231605,231605,231605,603,6543,0.39,0.39,0.39,110
"South Korea","KOR","Asia",2021-03-27,799090,793858,5232,1584,17456,1.56,1.55,0.01,340
"Switzerland","CHE","Europe",2021-03-27,1383101,862791,520310,1701,24499,15.98,9.97,6.01,2831
"Turkey","TUR","Asia",2021-03-27,14652659,8217124,6435535,161412,231844,17.37,9.74,7.63,2749
"United Kingdom","GBR","Europe",2021-03-27,33684114,30151736,3532378,663162,546339,49.62,44.42,5.2,8048
"United States","USA","Americas",2021-03-27,140180735,91707729,50141769,3496047,2677034,41.91,27.42,14.99,8004
"Uruguay","URY","Americas",2021-03-27,519185,518811,374,13196,29345,14.95,14.94,0.01,8448
"Zimbabwe","ZWE","Africa",2021-03-27,73431,65466,7965,5769,4460,0.49,0.44,0.05,300
"Argentina","ARG","Americas",2021-03-26,3474415,2824344,650071,108576,76436,7.69,6.25,1.44,1691
"Austria","AUT","Europe",2021-03-26,1516488,1114176,402312,49438,34955,16.84,12.37,4.47,3881
"Bahrain","BHR","Asia",2021-03-26,717408,471927,245481,9428,12951,42.16,27.73,14.43,7611
"Belgium","BEL","Europe",2021-03-26,1769916,1254008,515908,66934,43164,15.27,10.82,4.45,3724
"Bolivia","BOL","Americas",2021-03-26,259171,173264,85907,20993,13455,2.22,1.48,0.74,1153
"Brazil","BRA","Americas",2021-03-26,17032868,13053114,3979754,475797,528163,8.01,6.14,1.87,2485
"Bulgaria","BGR","Europe",2021-03-26,430228,343120,87108,14627,9644,6.19,4.94,1.25,1388
"Cambodia","KHM","Asia",2021-03-26,557113,366169,190944,25494,16496,3.33,2.19,1.14,987
"Canada","CAN","Americas",2021-03-26,4800931,4143640,657291,216981,153088,12.72,10.98,1.74,4056
"Chile","CHL","Americas",2021-03-26,9646351,6384255,3262096,216611,170605,50.46,33.4,17.06,8925
"Colombia","COL","Americas",2021-03-26,1596288,1448180,148108,119924,66327,3.14,2.85,0.29,1304
"Czechia","CZE","Europe",2021-03-26,1558042,1120651,437391,41490,32576,14.55,10.46,4.08,3042
"Denmark","DNK","Europe",2021-03-26,1032442,670473,361969,14087,13839,17.82,11.58,6.25,2389
"Finland","FIN","Europe",2021-03-26,898208,809974,88234,26665,15667,16.21,14.62,1.59,2828
"France","FRA","Europe",2021-03-26,10185810,7550454,2635356,393136,261074,14.95,11.08,3.87,3831
"Germany","DEU","Europe",2021-03-26,12623265,8817762,3805503,366506,281686,15.07,10.52,4.54,3362
"Gibraltar","GIB","Europe",2021-03-26,56536,30800,25736,659,768,167.81,91.42,76.39,22795
"Greece","GRC","Europe",2021-03-26,1572726,1046291,526435,35622,23666,15.09,10.04,5.05,2271
"Hong Kong","HKG","Asia",2021-03-26,435212,429512,5700,13715,18712,5.81,5.73,0.08,2496
"Hungary","HUN","Europe",2021-03-26,2537934,1870631,667303,139719,78849,26.27,19.36,6.91,8162
"Iceland","ISL","Europe",2021-03-26,60366,39633,20733,463,1109,17.69,11.61,6.08,3250
"India","IND","Asia",2021-03-26,58109773,49426618,8683155,2605333,2292340,4.21,3.58,0.63,1661
"Indonesia","IDN","Asia",2021-03-26,10412824,7179014,3233810,667178,438097,3.81,2.62,1.18,1602
"Ireland","IRL","Europe",2021-03-26,786569,567023,219546,26401,16863,15.93,11.48,4.45,3415
"Israel","ISR","Asia",2021-03-26,9931262,5219239,4712023,17181,36556,114.74,60.3,54.44,4223
"Italy","ITA","Europe",2021-03-26,9107379,6222951,2884428,263203,212469,15.06,10.29,4.77,3514
"Japan","JPN","Asia",2021-03-26,822869,781665,41204,47747,34862,0.65,0.62,0.03,276
"Latvia","LVA","Europe",2021-03-26,126396,104785,21611,3953,3401,6.7,5.56,1.15,1803
"Lebanon","LBN","Asia",2021-03-26,180074,111019,69055,6043,6400,2.64,1.63,1.01,938
"Lithuania","LTU","Europe",2021-03-26,473540,322478,151062,16383,10368,17.39,11.85,5.55,3809
"Malaysia","MYS","Asia",2021-03-26,551548,446617,104931,14867,21718,1.7,1.38,0.32,671
"Malta","MLT","Europe",2021-03-26,171873,121823,50050,5769,4506,38.93,27.59,11.34,10205
"Mexico","MEX","Americas",2021-03-26,6487170,5675286,811884,243284,185774,5.03,4.4,0.63,1441
"Montenegro","MNE","Europe",2021-03-26,14739,13410,1329,1810,1127,2.35,2.14,0.21,1794
"Morocco","MAR","Africa",2021-03-26,7525286,4293544,3231742,164888,130589,20.39,11.63,8.76,3538
"Norway","NOR","Europe",2021-03-26,889872,617902,271970,18462,16934,16.41,11.4,5.02,3124
"Paraguay","PRY","Americas",2021-03-26,34826,33169,1657,4788,2874,0.49,0.47,0.02,403
"Peru","PER","Americas",2021-03-26,882999,587839,295160,18017,15205,2.68,1.78,0.9,461
"Portugal","PRT","Europe",2021-03-26,1568279,1079107,489172,71432,36105,15.38,10.58,4.8,3541
"Romania","ROU","Europe",2021-03-26,2799895,1888033,911862,55131,53386,14.55,9.81,4.74,2775
"Slovakia","SVK","Europe",2021-03-26,899731,643691,256040,18640,19830,16.48,11.79,4.69,3632
"Slovenia","SVN","Europe",2021-03-26,337843,225513,112330,15846,7096,16.25,10.85,5.4,3413
"South Africa","ZAF","Africa",2021-03-26,231002,231002,231002,10873,6860,0.39,0.39,0.39,116
"South Korea","KOR","Asia",2021-03-26,797506,792274,5232,26222,17440,1.56,1.55,0.01,340
"Spain","ESP","Europe",2021-03-26,7067371,4561529,2505842,227635,141696,15.12,9.76,5.36,3031
"Switzerland","CHE","Europe",2021-03-26,1381400,861953,519447,16999,24441,15.96,9.96,6,2824
"Turkey","TUR","Asia",2021-03-26,14491247,8195554,6295693,263837,235239,17.18,9.72,7.46,2789
"United Kingdom","GBR","Europe",2021-03-26,33020952,29727435,3293517,694959,572214,48.64,43.79,4.85,8429
"United States","USA","Americas",2021-03-26,136684688,89559225,48695172,3379393,2624410,40.87,26.78,14.56,7847
"Zimbabwe","ZWE","Africa",2021-03-26,67662,61093,6569,8675,3711,0.46,0.41,0.04,250
"Argentina","ARG","Americas",2021-03-25,3365839,2730260,635579,36906,80098,7.45,6.04,1.41,1772
"Austria","AUT","Europe",2021-03-25,1467050,1082806,384244,44715,35470,16.29,12.02,4.27,3938
"Bahrain","BHR","Asia",2021-03-25,707980,464040,243940,13301,13433,41.61,27.27,14.34,7894
"Belgium","BEL","Europe",2021-03-25,1702982,1205391,497591,73985,42976,14.69,10.4,4.29,3708
"Bolivia","BOL","Americas",2021-03-25,238178,166737,71441,19977,11748,2.04,1.43,0.61,1006
"Brazil","BRA","Americas",2021-03-25,16557071,12639545,3917526,613107,506249,7.79,5.95,1.84,2382
"Bulgaria","BGR","Europe",2021-03-25,415601,332467,83134,14292,8507,5.98,4.78,1.2,1224
"Cambodia","KHM","Asia",2021-03-25,531619,354087,177532,25789,15997,3.18,2.12,1.06,957
"Canada","CAN","Americas",2021-03-25,4583950,3934959,648991,190074,145375,12.15,10.43,1.72,3852
"Cayman Islands","CYM","Americas",2021-03-25,44061,28605,15456,1038,822,67.04,43.53,23.52,12508
"Chile","CHL","Americas",2021-03-25,9429740,6218452,3211288,212302,181711,49.33,32.53,16.8,9506
"Colombia","COL","Americas",2021-03-25,1476364,1359247,117117,90861,57124,2.9,2.67,0.23,1123
"Czechia","CZE","Europe",2021-03-25,1516552,1096480,420072,43561,33395,14.16,10.24,3.92,3118
"Denmark","DNK","Europe",2021-03-25,1018355,664307,354048,16230,14637,17.58,11.47,6.11,2527
"Estonia","EST","Europe",2021-03-25,235600,177457,58143,5679,4396,17.76,13.38,4.38,3314
"Finland","FIN","Europe",2021-03-25,871543,783740,87803,24042,16109,15.73,14.15,1.58,2907
"France","FRA","Europe",2021-03-25,9792674,7198795,2593879,372160,235663,14.37,10.56,3.81,3458
"Germany","DEU","Europe",2021-03-25,12256759,8539872,3716887,331862,263723,14.63,10.19,4.44,3148
"Gibraltar","GIB","Europe",2021-03-25,55877,30671,25206,1290,842,165.85,91.04,74.82,24992
"Greece","GRC","Europe",2021-03-25,1537104,1035659,501445,147,23039,14.75,9.94,4.81,2210
"Hong Kong","HKG","Asia",2021-03-25,421497,420993,504,8219,20696,5.62,5.62,0.01,2761
"Hungary","HUN","Europe",2021-03-25,2398215,1803553,594662,126092,68030,24.83,18.67,6.16,7042
"Iceland","ISL","Europe",2021-03-25,59903,39578,20325,1874,1231,17.55,11.6,5.96,3607
"India","IND","Asia",2021-03-25,55504440,47001472,8502968,2358731,2309232,4.02,3.41,0.62,1673
"Ireland","IRL","Europe",2021-03-25,760168,548945,211223,27490,15131,15.39,11.12,4.28,3064
"Israel","ISR","Asia",2021-03-25,9914081,5215254,4698827,45060,39044,114.54,60.25,54.29,4511
"Italy","ITA","Europe",2021-03-25,8844176,6036744,2807432,261571,199695,14.63,9.98,4.64,3303
"Japan","JPN","Asia",2021-03-25,775122,737672,37450,33942,38060,0.61,0.58,0.03,301
"Latvia","LVA","Europe",2021-03-25,122443,101527,20916,5325,2937,6.49,5.38,1.11,1557
"Lebanon","LBN","Asia",2021-03-25,174031,108630,65401,8016,6363,2.55,1.59,0.96,932
"Lithuania","LTU","Europe",2021-03-25,457157,312713,144444,16874,9348,16.79,11.49,5.31,3434
"Luxembourg","LUX","Europe",2021-03-25,82653,62812,19841,2325,1759,13.2,10.03,3.17,2810
"Malaysia","MYS","Asia",2021-03-25,536681,443124,93557,25705,21651,1.66,1.37,0.29,669
"Malta","MLT","Europe",2021-03-25,166104,117171,48933,5844,3977,37.62,26.54,11.08,9007
"Mexico","MEX","Americas",2021-03-25,6243886,5460096,783790,124588,185195,4.84,4.23,0.61,1436
"Montenegro","MNE","Europe",2021-03-25,12929,11857,1072,2120,978,2.06,1.89,0.17,1557
"Morocco","MAR","Africa",2021-03-25,7360398,4289281,3071117,231422,124922,19.94,11.62,8.32,3384
"Norway","NOR","Europe",2021-03-25,871410,600583,270827,40984,15400,16.07,11.08,5,2841
"Paraguay","PRY","Americas",2021-03-25,30038,28417,1621,5665,2224,0.42,0.4,0.02,312
"Peru","PER","Americas",2021-03-25,864982,573455,291527,14501,18371,2.62,1.74,0.88,557
"Portugal","PRT","Europe",2021-03-25,1496847,1012179,484668,42493,32368,14.68,9.93,4.75,3174
"Romania","ROU","Europe",2021-03-25,2744764,1861647,883117,58886,52633,14.27,9.68,4.59,2736
"Slovakia","SVK","Europe",2021-03-25,881091,627020,254071,18519,19825,16.14,11.48,4.65,3631
"Slovenia","SVN","Europe",2021-03-25,321997,211911,110086,14330,5899,15.49,10.19,5.3,2838
"South Africa","ZAF","Africa",2021-03-25,220129,220129,220129,12321,6122,0.37,0.37,0.37,103
"South Korea","KOR","Asia",2021-03-25,771284,767451,3833,35469,15973,1.5,1.5,0.01,312
"Spain","ESP","Europe",2021-03-25,6839736,4447534,2392202,219643,120910,14.63,9.51,5.12,2586
"Switzerland","CHE","Europe",2021-03-25,1364401,851463,512938,19853,24162,15.77,9.84,5.93,2792
"Turkey","TUR","Asia",2021-03-25,14227410,8163156,6064254,257543,256561,16.87,9.68,7.19,3042
"United Kingdom","GBR","Europe",2021-03-25,32325993,29316130,3009863,559324,578742,47.62,43.18,4.43,8525
"United States","USA","Americas",2021-03-25,133305295,87343622,47419832,2831442,2510755,39.86,26.12,14.18,7507
"Zimbabwe","ZWE","Africa",2021-03-25,58987,54892,4095,7094,2712,0.4,0.37,0.03,182
"Argentina","ARG","Americas",2021-03-24,3328933,2694454,634479,88202,94404,7.37,5.96,1.4,2089
"Austria","AUT","Europe",2021-03-24,1422335,1054070,368265,38442,33988,15.79,11.7,4.09,3774
"Bahrain","BHR","Asia",2021-03-24,694679,452551,242128,14598,13890,40.83,26.6,14.23,8163
"Belgium","BEL","Europe",2021-03-24,1628997,1150288,478709,59880,42912,14.06,9.93,4.13,3703
"Bolivia","BOL","Americas",2021-03-24,218201,160904,57297,20097,9658,1.87,1.38,0.49,827
"Brazil","BRA","Americas",2021-03-24,15943964,12148769,3795195,734763,465953,7.5,5.72,1.79,2192
"Bulgaria","BGR","Europe",2021-03-24,401309,321332,79977,12504,7230,5.78,4.62,1.15,1041
"Cambodia","KHM","Asia",2021-03-24,505830,341912,163918,16840,14702,3.03,2.05,0.98,879
"Canada","CAN","Americas",2021-03-24,4393876,3751505,642371,170604,140554,11.64,9.94,1.7,3724
"Chile","CHL","Americas",2021-03-24,9217438,6061191,3156247,218334,199167,48.22,31.71,16.51,10419
"Colombia","COL","Americas",2021-03-24,1385503,1311229,74274,85694,51592,2.72,2.58,0.15,1014
"Czechia","CZE","Europe",2021-03-24,1472991,1070624,402367,41882,34236,13.75,10,3.76,3197
"Denmark","DNK","Europe",2021-03-24,1002125,656573,345552,23409,15447,17.3,11.34,5.97,2667
"Ecuador","ECU","Americas",2021-03-24,191179,152526,38653,8918,5342,1.08,0.86,0.22,303
"Estonia","EST","Europe",2021-03-24,229921,172183,57738,2927,4361,17.33,12.98,4.35,3288
"Finland","FIN","Europe",2021-03-24,847501,759827,87674,17089,17764,15.3,13.71,1.58,3206
"France","FRA","Europe",2021-03-24,9420514,6870993,2549521,297592,213249,13.82,10.08,3.74,3129
"Germany","DEU","Europe",2021-03-24,11924897,8287367,3637530,328841,244003,14.23,9.89,4.34,2912
"Gibraltar","GIB","Europe",2021-03-24,54587,30232,24355,726,751,162.02,89.73,72.29,22291
"Greece","GRC","Europe",2021-03-24,1536957,1035543,501414,33470,27317,14.75,9.94,4.81,2621
"Hong Kong","HKG","Asia",2021-03-24,413278,412802,476,9778,22755,5.51,5.51,0.01,3035
"Hungary","HUN","Europe",2021-03-24,2272123,1747519,524604,81493,58357,23.52,18.09,5.43,6041
"Iceland","ISL","Europe",2021-03-24,58029,38142,19887,3161,1105,17,11.18,5.83,3238
"India","IND","Asia",2021-03-24,53145709,44846538,8299171,2304423,2286065,3.85,3.25,0.6,1657
"Ireland","IRL","Europe",2021-03-24,732678,529984,202694,23330,13299,14.84,10.73,4.1,2693
"Israel","ISR","Asia",2021-03-24,9869021,5205324,4663697,56882,43158,114.02,60.14,53.88,4986
"Italy","ITA","Europe",2021-03-24,8582605,5857500,2725105,249996,185509,14.2,9.69,4.51,3068
"Japan","JPN","Asia",2021-03-24,741180,706101,35079,42054,43385,0.59,0.56,0.03,343
"Latvia","LVA","Europe",2021-03-24,117118,96876,20242,6075,2215,6.21,5.14,1.07,1174
"Lebanon","LBN","Asia",2021-03-24,166015,105534,60481,7997,6446,2.43,1.55,0.89,944
"Lithuania","LTU","Europe",2021-03-24,440283,302689,137594,17528,8130,16.17,11.12,5.05,2986
"Luxembourg","LUX","Europe",2021-03-24,80328,61026,19302,2331,1882,12.83,9.75,3.08,3007
"Malaysia","MYS","Asia",2021-03-24,510976,436687,74289,28987,20538,1.58,1.35,0.23,635
"Malta","MLT","Europe",2021-03-24,160260,113179,47081,4582,3770,36.3,25.63,10.66,8538
"Mexico","MEX","Americas",2021-03-24,6119298,5351319,767979,192331,197382,4.75,4.15,0.6,1531
"Montenegro","MNE","Europe",2021-03-24,10809,9961,848,2140,726,1.72,1.59,0.14,1156
"Morocco","MAR","Africa",2021-03-24,7128976,4284060,2844916,270576,109749,19.31,11.61,7.71,2973
"Norway","NOR","Europe",2021-03-24,830426,561930,268496,42723,12745,15.32,10.37,4.95,2351
"Paraguay","PRY","Americas",2021-03-24,24373,22793,1580,5499,1492,0.34,0.32,0.02,209
"Peru","PER","Americas",2021-03-24,850481,562665,287816,17864,22142,2.58,1.71,0.87,672
"Poland","POL","Europe",2021-03-24,5381726,3524209,1857517,187891,91832,14.22,9.31,4.91,2426
"Portugal","PRT","Europe",2021-03-24,1454354,973293,481061,22309,31219,14.26,9.55,4.72,3062
"Romania","ROU","Europe",2021-03-24,2685878,1831478,854400,59108,51639,13.96,9.52,4.44,2684
"San Marino","SMR","Europe",2021-03-24,9461,8607,854,377,389,27.88,25.36,2.52,11462
"Serbia","SRB","Europe",2021-03-24,2241510,1338010,903500,34689,23473,32.94,19.66,13.28,3450
"Seychelles","SYC","Africa",2021-03-24,96523,63132,33391,2051,941,98.15,64.2,33.95,9569
"Slovakia","SVK","Europe",2021-03-24,862572,611324,251248,21713,20070,15.8,11.2,4.6,3676
"Slovenia","SVN","Europe",2021-03-24,307667,200089,107578,9895,5288,14.8,9.62,5.17,2544
"South Africa","ZAF","Africa",2021-03-24,207808,207808,207808,13551,5628,0.35,0.35,0.35,95
"South Korea","KOR","Asia",2021-03-24,735815,733124,2691,30705,13498,1.44,1.43,0.01,263
"Spain","ESP","Europe",2021-03-24,6620093,4343860,2276233,210897,109001,14.16,9.29,4.87,2331
"Switzerland","CHE","Europe",2021-03-24,1344548,838973,505575,61306,23597,15.54,9.69,5.84,2727
"Turkey","TUR","Asia",2021-03-24,13969867,8133043,5836824,380700,261089,16.56,9.64,6.92,3096
"United Kingdom","GBR","Europe",2021-03-24,31766669,28991188,2775481,580307,593163,46.79,42.71,4.09,8738
"United States","USA","Americas",2021-03-24,130473853,85472166,46365515,2256824,2490889,39.01,25.56,13.86,7448
"Zimbabwe","ZWE","Africa",2021-03-24,51893,49404,2489,6696,1755,0.35,0.33,0.02,118
"Argentina","ARG","Americas",2021-03-23,3240731,2618750,621981,98287,99910,7.17,5.79,1.38,2211
"Austria","AUT","Europe",2021-03-23,1383893,1033104,350789,34492,33256,15.37,11.47,3.89,3692
"Bahrain","BHR","Asia",2021-03-23,680081,439433,240648,12926,14220,39.97,25.82,14.14,8357
"Belgium","BEL","Europe",2021-03-23,1569117,1100674,468443,47350,40850,13.54,9.5,4.04,3525
"Bolivia","BOL","Americas",2021-03-23,198104,155962,42142,17917,7438,1.7,1.34,0.36,637
"Brazil","BRA","Americas",2021-03-23,15209201,11559487,3649714,1092641,417182,7.16,5.44,1.72,1963
"Bulgaria","BGR","Europe",2021-03-23,388805,310415,78390,12435,6116,5.6,4.47,1.13,880
"Cambodia","KHM","Asia",2021-03-23,488990,334311,154679,13287,16615,2.92,2,0.93,994
"Canada","CAN","Americas",2021-03-23,4223272,3585845,637427,122714,135995,11.19,9.5,1.69,3603
"Chile","CHL","Americas",2021-03-23,8999104,5907431,3091673,240449,220368,47.08,30.9,16.17,11528
"Colombia","COL","Americas",2021-03-23,1299809,1236980,62829,61550,46239,2.55,2.43,0.12,909
"Czechia","CZE","Europe",2021-03-23,1431109,1044314,386795,39130,35018,13.36,9.75,3.61,3270
"Denmark","DNK","Europe",2021-03-23,978716,646711,332005,13755,14960,16.9,11.17,5.73,2583
"Estonia","EST","Europe",2021-03-23,226994,169435,57559,2483,4593,17.11,12.77,4.34,3462
"Finland","FIN","Europe",2021-03-23,830412,742812,87600,9078,19000,14.99,13.41,1.58,3429
"France","FRA","Europe",2021-03-23,9122922,6616899,2506023,288244,197568,13.39,9.71,3.68,2899
"Germany","DEU","Europe",2021-03-23,11596056,8046228,3549828,296265,226119,13.84,9.6,4.24,2699
"Gibraltar","GIB","Europe",2021-03-23,53861,30170,23691,690,795,159.87,89.55,70.32,23597
"Greece","GRC","Europe",2021-03-23,1503487,1018670,484817,34467,26705,14.42,9.77,4.65,2562
"Hong Kong","HKG","Asia",2021-03-23,403500,403056,444,23833,24872,5.38,5.38,0.01,3318
"Hungary","HUN","Europe",2021-03-23,2190630,1696110,494520,72374,55220,22.68,17.56,5.12,5716
"Iceland","ISL","Europe",2021-03-23,54868,37962,16906,1849,884,16.08,11.12,4.95,2590
"India","IND","Asia",2021-03-23,50841286,42731952,8109334,2346692,2253821,3.68,3.1,0.59,1633
"Indonesia","IDN","Asia",2021-03-23,9330853,6389837,2941016,1104221,449308,3.41,2.34,1.08,1643
