"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"Namibia",-0.0831602532538467,0.0265435247140597,-0.0325327212658947,-0.014173259797074,-0.0403869758804963,-0.0348494834888485,-0.0262598593030681,0.0257003722460102,0.073843503755927,-0.0434475547163037,-0.00263959181653267,-0.0512745436710538,-0.0097833536979933,-0.112279004182741,0.029803813484713,0.0221319876719667,0.0274341491362043,0.0348249761118398,-0.0551039889042614,-0.0142983366551969,-0.0213059017649063,0.0429730873802639,0.0809630431078716,0.0525285566256288,0.0342293949890577,-0.00784043419160842,-0.0229174644700209,-0.0601501395204211,0.0615833160699703
"North Korea",-0.0762910109537403,0.0211625069310194,-0.0991090882687027,-0.062387781882131,-0.0362356582220233,-0.0862747797990333,-0.00354212766201174,0.0595207979512053,0.0358297382877354,0.159520759229323,0.00156357350135483,-0.0184683373820589,-0.0428348615493761,0.0147647585592177,0.0775625155337613,0.0507130735746756,0.0512366723703968,0.00179562203708136,0.0253755048672398,0.051266678456523,-0.0352759301790097,0.120175847969548,0.0662699753604867,-0.00666929944938854,0.0849708577964227,-0.0142829452228548,-0.0295499326477741,0.014926372744187,0.00752968504350512
"Qatar",-0.0826823339188126,0.0373643916386138,-0.0243262218287289,-0.00942414818114525,-0.0328344663546129,-0.0279746016650117,-0.0439457475420687,-0.013498695878566,0.0149283867190124,-0.0262442269215302,0.0123281652086236,0.00395102137815987,0.0277652238447058,0.0316130911762001,0.0138802787993733,-0.0570281222014034,-0.111929187782655,-0.0662624166708234,0.00978500290162864,0.0335495852469616,-0.0499338062313855,-0.00486286099703945,-0.026572578809292,-0.0701724087686669,-0.0425095725780926,0.0469795947216216,-0.0242876607325746,0.0202619390064839,-0.00764954278050326
"São Tomé & Príncipe",-0.0850826962250247,0.024085228757422,-0.0186254680868124,-0.0131603680412025,-0.0296515958935993,-0.0046063443582228,0.0401140512719568,0.0164003123938124,0.0602550878775653,-0.0210895671251834,0.0208633919759725,-0.00802084380327989,-0.00248178305257959,0.0459775436124117,-0.035826655117875,-0.0390782751898082,-0.0379110158460414,-0.0415593565532031,0.0336517007605528,-0.0454019108038928,-0.0176975132490482,0.0248144735803605,0.0122996355462408,0.0290038985056019,0.163124047962794,0.0804771758263977,-0.0186572560437152,-0.0493937536128941,0.0635996571264289
"Seychelles",-0.0829814624687019,0.0545738747008623,0.0639799007226316,-0.163368379606533,0.121999189039029,0.179579072068497,-0.028376373224075,-0.0303054679148021,0.0807333898257119,-0.0517016426244015,0.024057891943936,-0.0253944278027808,-0.012171705653234,0.071182230703276,-0.0280625307105252,-0.131894973591089,-0.00688441019625845,-0.159773454802876,0.0464398978984549,-0.00473957094924691,-0.0519978121848655,0.0255135838668579,0.0250529645407587,-0.0677971218859669,0.060847214590063,0.0278658533116548,-0.0815959178187073,0.0825489747928641,-0.0104538420427692
"United Arab Emirates",-0.0829009862180824,0.0349659844405613,-0.024973430718123,-0.00765948470177484,-0.0305259721982639,-0.0221774004323357,-0.0373100957818647,-0.0101131825043184,0.0162625348912304,-0.0327204076183028,0.0183890763438498,0.00694665318902955,0.0176644538069157,0.0435413603802281,-0.00263851306631248,-0.0507805322144581,-0.0975271748590543,-0.0349518683634021,0.0227838022765295,0.0155126183901343,-0.0213058676135818,-0.00853159748221699,-0.0555925391518962,-0.0463195205681059,-0.031028362310723,0.0499949093081821,0.0272885190255739,0.0238259736668682,-0.00172813310689286
"Vanuatu",-0.0760271930128293,0.058972569825726,0.0413286694823589,0.100264910434926,0.051312684311949,-0.109336563258365,0.0365485322882838,0.0148231602687825,0.112504260703313,0.015227163821661,0.0391872104253067,0.00458605650548378,0.0110908125905032,0.116943317847638,0.122764501304061,-0.199658189564763,0.0871137008760053,0.11946323013456,-0.0000881462466689529,-0.167364767637716,0.0436588718873284,0.0618643382288769,0.123929480415612,-0.161566362014865,0.0481359497057626,-0.161530905622836,0.0742268988073037,-0.00858559728142304,-0.0766622673088224
"Vietnam",-0.0813235000741702,0.034757425270177,-0.0196903418306911,-0.067250948344699,-0.0016493581138007,0.0285800378207073,-0.0278020702700449,0.0108104123450017,0.0789300486318962,-0.0374466118208877,-0.0112672264976668,-0.0708661003563566,-0.00559457333234854,-0.0335631604370002,0.0376544956574432,-0.014452804872707,0.0573661027231285,-0.119151814412789,0.000298244026508455,-0.0346170516290342,0.0700003870787799,-0.0548542400038929,0.0389391032986811,0.00767526160188358,0.0677887983628248,-0.0376270978031797,0.131461949958794,0.120774520033117,-0.0152824537284892
"Yemen",-0.0835384999358071,0.0321464202325791,-0.0328143738650318,-0.0195466226592088,-0.0590232230541597,0.00709524350922842,0.0133595575904952,0.00977292580070829,0.0660961457154167,-0.0647961155468357,0.00105449851936838,-0.0246203121526715,-0.0491066959732589,0.042945380911025,0.0130125072991764,-0.0869518782928927,-0.0899019084552115,-0.0112410122540641,0.0718430111204311,0.0459646587032548,-0.0325066614542192,0.0434087617673526,-0.0574030679547248,-0.0280105601040309,0.05052200586212,-0.0215014698719092,-0.018650791431921,-0.106813928646672,0.0766428676567153
"Algeria",-0.0807466578964774,0.0318377166489548,-0.0304976714183156,-0.0276057050204482,-0.0351115043348925,0.00033255114896867,-0.00769245013160035,0.00530764790012869,0.00706862029890734,-0.00883662204285385,-0.0271150462260356,-0.0378085069202402,0.0222973584819352,0.06088798709675,0.00719236542014101,0.0118524753838701,0.00748510851656551,-0.0131048818233928,0.0145177611951899,0.0299892671417681,0.0132988912327887,0.0745165111367134,-0.0989542927220608,0.0155523310031651,-0.0280779874711861,-0.0433195325099872,0.00051659589633023,0.0213832897618132,0.0697291309399178
