"date","CLOSE"
2019-03-28,36.05
2019-03-29,37.25
2019-04-01,38.6
2019-04-02,37.9
2019-04-03,37.4
2019-04-04,37.1
2019-04-05,36.65
2019-04-08,36.3
2019-04-09,36.9
2019-04-10,36.9
2019-04-11,36.1
2019-04-12,36.9
2019-04-15,37.35
2019-04-16,44.5
2019-04-18,45.05
2019-04-22,44.65
2019-04-23,44.25
2019-04-24,44.75
2019-04-25,43.95
2019-04-26,43.1
2019-04-30,40.25
2019-05-02,41.7
2019-05-03,41.85
2019-05-06,40.45
2019-05-07,39.75
2019-05-08,38.25
2019-05-09,39.05
2019-05-10,38.95
2019-05-13,37.9
2019-05-14,37.9
2019-05-15,37.6
2019-05-16,36.8
2019-05-17,37.4
2019-05-20,43
2019-05-21,43.55
2019-05-22,44
2019-05-23,43.6
2019-05-24,42.45
2019-05-27,43.1
2019-05-28,45.2
2019-05-29,44.25
2019-05-30,44.65
2019-05-31,43.1
2019-06-03,44.05
2019-06-04,45.05
2019-06-06,44.35
2019-06-07,43.4
2019-06-10,42.85
2019-06-11,42.55
2019-06-12,43.05
2019-06-13,43.5
2019-06-14,42.7
2019-06-17,41.8
2019-06-18,40.8
2019-06-19,39.65
2019-06-20,40.9
2019-06-21,41.25
2019-06-24,41.2
2019-06-25,41.4
2019-06-26,41.5
2019-06-27,42.6
2019-06-28,44.45
2019-07-01,45.55
2019-07-02,50.25
2019-07-03,52
2019-07-04,51.05
2019-07-05,47.55
2019-07-08,44.95
2019-07-09,49.65
2019-07-10,49.1
2019-07-11,49.4
2019-07-12,49.55
2019-07-15,48.55
2019-07-16,49.2
2019-07-17,48.45
2019-07-18,47.5
2019-07-19,45.85
2019-07-22,46.8
2019-07-23,48.75
2019-07-24,48.35
2019-07-25,48.75
2019-07-26,49.6
2019-07-29,48.85
2019-07-30,46.45
2019-07-31,46.75
2019-08-01,45.7
2019-08-02,46.95
2019-08-05,45.75
2019-08-06,47.4
2019-08-07,47.85
2019-08-08,47.3
2019-08-09,46.35
2019-08-13,46.5
2019-08-14,46.6
2019-08-16,46.8
2019-08-19,46.35
2019-08-20,45.8
2019-08-21,44
2019-08-22,43.55
2019-08-23,43.8
2019-08-26,43.65
2019-08-27,45.05
2019-08-28,44.35
2019-08-29,43.35
2019-08-30,46.2
2019-09-03,44.45
2019-09-04,43.9
2019-09-05,44.95
2019-09-06,45
