"Updated.On","State","Total.Individuals.Vaccinated","Total.Sessions.Conducted","Total.Sites","First.Dose.Administered","Second.Dose.Administered","Male.Individuals.Vaccinated.","Female.Individuals.Vaccinated.","Transgender.Individuals.Vaccinated.","Total.Covaxin.Administered","Total.CoviShield.Administered","Total.Sputnik.V.Administered","AEFI","Total.Doses.Administered","Total.Individuals.Vaccinated_Dailycalc","Population"
2021-06-06,"Arunachal Pradesh",298148,11068,62,298148,78613,165163,132879,106,0,376761,0,270,376761,3972,1570458
2021-06-06,"Assam",3489368,89359,457,3489368,850360,1893431,1595370,567,845915,3493813,0,182,4339728,21919,35607039
2021-06-06,"Bihar",9183267,680772,2514,9183267,1846767,5062126,4119362,1779,944593,10085441,0,197,11030034,99798,124799926
2021-06-06,"Chandigarh",304833,8840,28,304833,75110,171504,133285,44,0,379943,0,134,379943,2058,1158473
2021-06-06,"Chhattisgarh",5152970,262645,1355,5152970,1132655,2519562,2632832,576,207896,6077729,0,564,6285625,1565,29436231
2021-06-06,"Dadra and Nagar Haveli and Daman and Diu",197457,4090,35,197457,26067,126481,70941,35,0,223524,0,87,223524,479,NA
2021-06-06,"Delhi",4385618,39643,93,4385618,1285879,2544645,1840095,878,1708860,3962637,0,950,5671497,14543,18710922
2021-06-06,"Goa",474147,33620,82,474147,96287,242518,231588,41,9941,560493,0,571,570434,6618,1586250
2021-06-06,"Gujarat",14128072,444175,2087,14128072,4299619,7623531,6502596,1945,2181397,16246294,0,1005,18427691,212889,63872399
2021-06-06,"Haryana",5226504,109656,430,5226504,1020217,2848479,2377082,943,908760,5337961,0,866,6246721,20600,28204692
2021-06-06,"Himachal Pradesh",2090289,5160,30,2090289,434204,1049178,1040736,375,0,2524493,0,675,2524493,1236,7451955
2021-06-06,"Jammu and Kashmir",2910164,224102,954,2910164,565974,1701733,1207888,543,59759,3416379,0,123,3476138,13804,13606320
2021-06-06,"Jharkhand",3806892,374040,1708,3806892,742873,2060048,1746230,614,630289,3919476,0,714,4549765,74873,38593948
2021-06-06,"Karnataka",12333182,1144187,3719,12333182,2870122,6321434,6009848,1900,1676132,13526684,488,2541,15203304,126999,67562686
2021-06-06,"Kerala",8109567,119620,341,8109567,2160564,3864762,4243531,1274,780025,9490084,22,2390,10270131,51595,35699443
2021-06-06,"Ladakh",140369,0,0,140369,37312,74251,66101,17,0,177681,0,4,177681,3,289023
2021-06-06,"Lakshadweep",32096,13350,9,32096,6975,17712,14382,2,0,39071,0,0,39071,774,65840
2021-06-06,"Madhya Pradesh",10923948,361260,1190,10923948,1835190,6091184,4830791,1973,1749629,11009509,0,584,12759138,127060,85358965
2021-06-06,"Maharashtra",19360252,572555,1665,19360252,4785180,10392910,8964619,2723,2954409,21190978,45,3976,24145432,82225,123144223
2021-06-06,"Manipur",421595,554,5,421595,70916,233882,187603,110,0,492511,0,78,492511,107,3091545
2021-06-06,"Meghalaya",402288,100,1,402288,74462,209065,193182,41,0,476750,0,270,476750,7,3366710
2021-06-06,"Mizoram",272321,0,0,272321,51215,140615,131685,21,0,323536,0,735,323536,1,1239244
2021-06-06,"Nagaland",230426,4650,18,230426,52055,134016,96391,19,0,282481,0,36,282481,585,2249695
2021-06-06,"Odisha",6791199,22924,116,6791199,1505057,3620650,3169400,1149,868695,7427561,0,277,8296256,13098,46356334
2021-06-06,"Puducherry",237400,20555,57,237400,51691,123195,114172,33,74,289017,0,19,289091,2514,1413542
2021-06-06,"Punjab",4117141,359050,1113,4117141,794847,2325212,1791444,485,469698,4442290,0,132,4911988,37840,30141373
2021-06-06,"Rajasthan",14513474,592655,2001,14513474,3229701,7592715,6918489,2270,1406072,16337103,0,486,17743175,68512,81032689
2021-06-06,"Sikkim",180065,200,1,180065,59714,96907,83131,27,0,239779,0,219,239779,151,690251
2021-06-06,"Tamil Nadu",7972482,403493,1109,7972482,2097011,4394275,3577141,1066,1661068,8408425,0,132,10069493,47782,77841267
2021-06-06,"Telangana",5391957,361542,707,5391957,1303631,2824463,2566418,1076,1143102,5537720,14766,382,6695588,117159,39362732
2021-06-06,"Tripura",1128612,20740,60,1128612,508061,584922,543527,163,15121,1621552,0,63,1636673,1013,4169794
2021-06-06,"Uttar Pradesh",16643702,127375,372,16643702,3629100,9517213,7122391,4098,2330233,17942569,0,1203,20272802,18777,237882725
2021-06-06,"Uttarakhand",2362816,65942,453,2362816,687406,1218610,1143693,513,110541,2939681,0,294,3050222,24108,11250858
2021-06-06,"West Bengal",12206706,479793,1016,12206706,3943243,6851075,5353848,1783,1825771,14324178,0,1214,16149949,116634,99609303
2021-06-05,"India",182451348,12775190,45548,182451348,44711155,98143570,84277549,30229,26213604,200932620,16279,21637,227162503,3246011,1366400000
2021-06-05,"Andaman and Nicobar Islands",111971,1872,11,111971,15223,60338,51624,9,0,127194,0,3,127194,465,417036
2021-06-05,"Andhra Pradesh",8231348,684992,1329,8231348,2572474,4180641,4049412,1295,1946325,8856083,1414,330,10803822,90178,53903393
2021-06-05,"Arunachal Pradesh",294176,20307,96,294176,78600,163145,130925,106,0,372776,0,270,372776,9842,1570458
2021-06-05,"Assam",3467449,137529,836,3467449,847772,1881821,1585066,562,843193,3472028,0,182,4315221,38244,35607039
2021-06-05,"Bihar",9083469,805747,2834,9083469,1839056,5004520,4077199,1750,916993,10005532,0,196,10922525,141796,124799926
2021-06-05,"Chandigarh",302775,24455,77,302775,75098,170305,132426,44,0,377873,0,134,377873,5629,1158473
2021-06-05,"Chhattisgarh",5151405,287785,1481,5151405,1130679,2518763,2632067,575,206352,6075732,0,564,6282084,2804,29436231
2021-06-05,"Dadra and Nagar Haveli and Daman and Diu",196978,13592,64,196978,26062,126248,70695,35,0,223040,0,87,NA,7213,NA
2021-06-05,"Delhi",4371075,159161,735,4371075,1285016,2536381,1833818,876,1708079,3948012,0,950,5656091,41751,18710922
2021-06-05,"Goa",467529,38764,95,467529,96250,239949,227539,41,9942,553837,0,571,563779,11476,1586250
2021-06-05,"Gujarat",13915183,479610,2224,13915183,4286032,7500857,6412426,1900,2154329,16046886,0,1004,18201215,240600,63872399
2021-06-05,"Haryana",5205904,218140,830,5205904,1018334,2836930,2368038,936,904476,5319762,0,866,6224238,54053,28204692
2021-06-05,"Himachal Pradesh",2089053,51529,256,2089053,434190,1048356,1040322,375,0,2523243,0,675,2523243,13437,7451955
2021-06-05,"Jammu and Kashmir",2896360,285726,1089,2896360,565070,1694354,1201465,541,59277,3402153,0,122,3461430,27881,13606320
2021-06-05,"Jharkhand",3732019,388228,1706,3732019,738702,2017158,1714267,594,614300,3856421,0,669,4470721,85671,38593948
2021-06-05,"Karnataka",12206183,1680845,5276,12206183,2862414,6253471,5950834,1878,1665088,13403436,73,2540,15068597,306822,67562686
2021-06-05,"Kerala",8057972,354755,1279,8057972,2156991,3837947,4218767,1258,773840,9441101,22,2387,10214963,169088,35699443
2021-06-05,"Ladakh",140366,7600,28,140366,37312,74251,66098,17,0,177678,0,4,177678,2768,289023
2021-06-05,"Lakshadweep",31322,11550,10,31322,6972,17335,13985,2,0,38294,0,0,38294,944,65840
2021-06-05,"Madhya Pradesh",10796888,863343,3106,10796888,1832621,6012607,4782344,1937,1721232,10908277,0,572,12629509,397699,85358965
2021-06-05,"Maharashtra",19278027,1178249,4169,19278027,4771520,10347927,8927387,2713,2944627,21104916,4,3976,24049547,318630,123144223
2021-06-05,"Manipur",421488,16428,87,421488,70916,233837,187541,110,0,492404,0,78,492404,9079,3091545
2021-06-05,"Meghalaya",402281,16145,123,402281,74462,209058,193182,41,0,476743,0,270,476743,2129,3366710
2021-06-05,"Mizoram",272320,1372,6,272320,51215,140614,131685,21,0,323535,0,735,323535,1238,1239244
2021-06-05,"Nagaland",229841,1582,10,229841,52049,133674,96148,19,0,281890,0,36,281890,207,2249695
2021-06-05,"Odisha",6778101,204631,883,6778101,1504900,3613482,3163472,1147,868674,7414327,0,277,8283001,74332,46356334
2021-06-05,"Puducherry",234886,20853,57,234886,51665,121832,113023,31,74,286477,0,19,286551,4259,1413542
2021-06-05,"Punjab",4079301,482875,1680,4079301,792988,2304398,1774426,477,467168,4405121,0,132,4872289,58891,30141373
2021-06-05,"Rajasthan",14444962,865921,3102,14444962,3217129,7557656,6885044,2262,1394632,16267459,0,486,17662091,146545,81032689
2021-06-05,"Sikkim",179914,1940,11,179914,59714,96905,82982,27,0,239628,0,219,239628,79,690251
2021-06-05,"Tamil Nadu",7924700,705541,1751,7924700,2094173,4367398,3556238,1064,1633138,8385735,0,132,10018873,134501,77841267
2021-06-05,"Telangana",5274798,460158,1056,5274798,1302258,2760510,2513227,1061,1125557,5436733,14766,381,6577056,141673,39362732
2021-06-05,"Tripura",1127599,58390,231,1127599,508044,584401,543035,163,15121,1620522,0,63,1635643,4194,4169794
2021-06-05,"Uttar Pradesh",16624925,1173348,5919,16624925,3627211,9506659,7114170,4096,2328265,17923871,0,1203,20252136,370308,237882725
2021-06-05,"Uttarakhand",2338708,90680,584,2338708,686963,1205120,1133084,504,106545,2919126,0,293,3025671,36773,11250858
2021-06-05,"West Bengal",12090072,981547,2517,12090072,3941080,6784722,5303588,1762,1806377,14224775,0,1211,16031152,294812,99609303
2021-06-04,"India",179205337,13131165,46141,179205337,44436944,96289872,82885972,29493,25581498,198045267,15516,21518,223642281,3527703,1366400000
2021-06-04,"Andaman and Nicobar Islands",111506,2345,8,111506,15207,60106,51391,9,0,126713,0,3,126713,505,417036
2021-06-04,"Andhra Pradesh",8141170,1020917,1696,8141170,2567240,4135672,4004213,1285,1925318,8782234,858,330,10708410,354201,53903393
2021-06-04,"Arunachal Pradesh",284334,22909,105,284334,78575,158149,126082,103,0,362909,0,268,362909,11426,1570458
2021-06-04,"Assam",3429205,132569,860,3429205,845276,1861437,1567215,553,840957,3433524,0,182,4274481,36784,35607039
2021-06-04,"Bihar",8941673,797962,2715,8941673,1830579,4919926,4020049,1698,891581,9880671,0,196,10772252,177264,124799926
2021-06-04,"Chandigarh",297146,17075,74,297146,75045,167099,130005,42,0,372191,0,134,372191,5428,1158473
2021-06-04,"Chhattisgarh",5148601,278190,1448,5148601,1125803,2517333,2630693,575,203908,6070496,0,564,6274404,2574,29436231
2021-06-04,"Dadra and Nagar Haveli and Daman and Diu",189765,10712,64,189765,26037,121264,68467,34,0,215802,0,87,215802,3981,NA
2021-06-04,"Delhi",4329324,137401,604,4329324,1269730,2511391,1817070,863,1693027,3906027,0,948,5599054,34586,18710922
